date,open,high,low,close,volume,vwap,Returns
09/17/2013 9:07:53,1695.25,1696.25,1695,1696.25,21025,1695.540309,0
09/17/2013 9:12:58,1696.25,1696.5,1695.5,1696.25,21004,1696.087317,0.000441956
09/17/2013 9:20:52,1696.25,1697.25,1696,1697,21009,1696.70916,0
09/17/2013 9:31:47,1697,1697.25,1696.25,1697,21017,1696.805729,-0.000442152
09/17/2013 9:41:09,1697,1697.75,1696.25,1696.25,20957,1696.968328,-0.000147406
09/17/2013 9:51:02,1696.25,1697,1695.75,1696,21054,1696.240228,0
09/17/2013 10:02:33,1696,1696.75,1695.5,1696,21022,1696.158227,-0.000147427
09/17/2013 10:16:08,1696.25,1697,1695.5,1695.75,21010,1696.310971,0.000736594
09/17/2013 10:31:23,1695.75,1697.25,1695.75,1697,21007,1696.532251,-0.000442152
09/17/2013 10:47:21,1697,1697,1695.5,1696.25,21013,1696.123959,-0.000147406
09/17/2013 11:14:48,1696.25,1696.75,1695.5,1696,21001,1696.165064,0.000442022
09/17/2013 11:48:55,1696,1697,1695.75,1696.75,21028,1696.511925,0.001030321
09/17/2013 12:03:32,1696.75,1698.5,1696.5,1698.5,21000,1697.69606,-0.000883913
09/17/2013 12:20:06,1698.5,1698.5,1697,1697,20994,1697.738735,0.000588928
09/17/2013 12:55:57,1697,1698.25,1697,1698,20998,1697.617535,-0.000294551
09/17/2013 13:18:57,1698,1698.75,1697.5,1697.5,20990,1698.133516,0.000441631
09/17/2013 13:37:37,1697.5,1698.5,1697.25,1698.25,20992,1697.846477,-0.000294507
09/17/2013 14:00:43,1698.25,1698.5,1697.5,1697.75,20991,1698.058454,0.000294421
09/17/2013 14:22:26,1697.75,1698.25,1697.5,1698.25,20943,1697.919854,-0.000589188
09/17/2013 14:32:42,1698.25,1698.25,1697.25,1697.25,21046,1697.783866,-0.000147319
09/17/2013 14:42:56,1697.25,1697.5,1696.5,1697,20984,1697.011616,0.000147297
09/17/2013 14:51:38,1697,1698,1696.75,1697.25,20570,1697.524733,0.000294507
09/17/2013 14:58:28,1697.25,1697.75,1697,1697.75,21449,1697.301937,0.000147232
09/17/2013 14:59:59,1697.75,1698.25,1697.5,1698,20944,1697.9359,0
09/17/2013 15:01:51,1698,1698.5,1697.5,1698,21036,1697.958012,-0.000147254
09/17/2013 15:11:38,1698,1698.25,1697.5,1697.75,20908,1697.893271,0.000735727
09/17/2013 15:38:32,1698,1699.5,1697.75,1699,21076,1698.453312,0.001028958
09/17/2013 21:18:54,1699,1700.75,1698.25,1700.75,20970,1699.43288,-0.001177336
09/18/2013 2:24:20,1700.75,1701,1698.25,1698.75,20965,1699.424922,0.001175952
09/18/2013 3:59:13,1698.75,1700.75,1698,1700.75,20985,1699.642816,-0.000147016
